"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1308","没有登录从首页将商品加入购物车","pom.test_pom_case","Thu Apr 24 21:40:44 CST 2025","passed","Thu Apr 24 21:40:45 CST 2025","TestCarOrder","test_car_order","",""
"","3252","购物车中没有商品时不能提交订单","pom.test_pom_case","Thu Apr 24 21:41:36 CST 2025","passed","Thu Apr 24 21:41:39 CST 2025","TestCarOrder","test_car_order","",""
"","15586","删除购物车中的商品","pom.test_pom_case","Thu Apr 24 21:41:00 CST 2025","passed","Thu Apr 24 21:41:15 CST 2025","TestCarOrder","test_car_order","",""
"","7301","单商品加入购物车提交订单","pom.test_pom_case","Thu Apr 24 21:42:16 CST 2025","passed","Thu Apr 24 21:42:24 CST 2025","TestCarOrder","test_car_order","",""
"","1921","无收货地址立即购买提交订单","pom.test_pom_case","Thu Apr 24 21:42:05 CST 2025","passed","Thu Apr 24 21:42:07 CST 2025","TestCarOrder","test_car_order","",""
"","439","购物车没有商品提交订单","pom.test_pom_case","Thu Apr 24 21:42:53 CST 2025","passed","Thu Apr 24 21:42:53 CST 2025","TestCarOrder","test_car_order","",""
"","3976","进入我的购物车","pom.test_pom_case","Thu Apr 24 21:44:20 CST 2025","passed","Thu Apr 24 21:44:24 CST 2025","TestHomeUserCenter","test_home_usercenter","",""
"","4165","搜索不存在的商品","pom.test_pom_case","Thu Apr 24 21:43:13 CST 2025","passed","Thu Apr 24 21:43:17 CST 2025","TestHomeUserCenter","test_home_usercenter","",""
"","1839","勾选购物车中的商品","pom.test_pom_case","Thu Apr 24 21:40:51 CST 2025","passed","Thu Apr 24 21:40:53 CST 2025","TestCarOrder","test_car_order","",""
"","10561","多商品加入购物车提交订单","pom.test_pom_case","Thu Apr 24 21:42:33 CST 2025","passed","Thu Apr 24 21:42:44 CST 2025","TestCarOrder","test_car_order","",""
"","1574","从首页将商品加入购物车","pom.test_pom_case","Thu Apr 24 21:40:39 CST 2025","passed","Thu Apr 24 21:40:40 CST 2025","TestCarOrder","test_car_order","",""
"","14392","三种情况登录测试test_shop_002_skip_login","pom.test_pom_case","Thu Apr 24 21:44:53 CST 2025","passed","Thu Apr 24 21:45:08 CST 2025","TestLogin","test_login","",""
"","6570","立即购买提交订单","pom.test_pom_case","Thu Apr 24 21:41:49 CST 2025","passed","Thu Apr 24 21:41:56 CST 2025","TestCarOrder","test_car_order","",""
"","5990","三种情况登录测试test_shop_003_skip_login","pom.test_pom_case","Thu Apr 24 21:45:08 CST 2025","passed","Thu Apr 24 21:45:14 CST 2025","TestLogin","test_login","",""
"","1639","加减购物车中的商品数量","pom.test_pom_case","Thu Apr 24 21:41:25 CST 2025","passed","Thu Apr 24 21:41:26 CST 2025","TestCarOrder","test_car_order","",""
"","5769","搜索存在的商品","pom.test_pom_case","Thu Apr 24 21:43:08 CST 2025","passed","Thu Apr 24 21:43:13 CST 2025","TestHomeUserCenter","test_home_usercenter","",""
"","10562","支付未支付订单","pom.test_pom_case","Thu Apr 24 21:43:33 CST 2025","passed","Thu Apr 24 21:43:44 CST 2025","TestHomeUserCenter","test_home_usercenter","",""
"","9629","空搜索","pom.test_pom_case","Thu Apr 24 21:43:18 CST 2025","passed","Thu Apr 24 21:43:27 CST 2025","TestHomeUserCenter","test_home_usercenter","",""
"","2709","修改个人信息","pom.test_pom_case","Thu Apr 24 21:44:34 CST 2025","passed","Thu Apr 24 21:44:37 CST 2025","TestHomeUserCenter","test_home_usercenter","",""
"","5087","三种情况登录测试test_shop_004_skip_login","pom.test_pom_case","Thu Apr 24 21:45:14 CST 2025","passed","Thu Apr 24 21:45:19 CST 2025","TestLogin","test_login","",""
"","3247","测试将错误截图保存到allure报告中","pom.test_pom_case","Thu Apr 24 21:44:48 CST 2025","broken","Thu Apr 24 21:44:52 CST 2025","TestHomeUserCenter","test_home_usercenter","",""
"","21389","删除已支付订单","pom.test_pom_case","Thu Apr 24 21:43:53 CST 2025","passed","Thu Apr 24 21:44:14 CST 2025","TestHomeUserCenter","test_home_usercenter","",""
